words,label
professorar,0
ejeção,0
vômito,1
retirada,0
depósito,0
descida,0
oscilação,0
cartéis,1
criar,0
contentemente,0
conspiração,1
escopo,0
temeroso,0
acometível,0
mimosear,0
mole,0
gasto,0
fascinar,0
apagar,0
nojento,0
aminguamento,0
congregação,0
ocioso,0
inconveniência,0
nivelar,0
destroço,0
brigar,0
reflexo,0
gestação,1
comovedor,0
goma,0
réus,0
renome,0
deslumbrar,0
interromper,0
agarrado,0
realizou,0
automaticamente,0
finalidade,0
bizarro,1
repartição,0
sociedade,0
balizar,0
igualou,1
instigar,0
ampliação,0
carneiro,0
reduzir,0
desconfortante,0
sempre,0
demonstrar,0
traço,0
coleta,1
rutilante,0
gigante,0
aborda,1
itinerante,0
concertar,0
putrefação,0
básico,0
acervo,0
atrofiando,0
dádiva,1
plenário,0
fuxiqueiro,0
despargir,0
líder,0
fulgente,0
historiadores,1
comparar,0
enevoada,0
aproximação,0
fnanciadores,0
cavidade,0
manear,0
imposto,0
coincidentemente,0
atributo,0
amorosamente,0
permitir,0
aperfeiçoar,1
demonstração,0
malparar,0
pesquisar,0
saliente,0
nojoso,0
desprezível,0
percussão,0
registrar,0
meios,0
supostamente,0
rejeitado,0
afunda,1
paleontologista,0
dureza,0
conata,0
preferido,0
corpulência,0
manobra,0
esporádico,0
talhado,0
aerólito,0
organização,0
fundação,0
uma,0
infinito,0
prevalente,0
homogêneo,0
constrangimento,1
fluidez,0
unido,0
alusão,0
exóticos,1
segurar,0
abafado,0
organizar,0
caixa,0
apresar,0
enaltecer,0
trivialmente,0
densidade,0
retêm,0
consistência,0
magnificente,0
separação,0
surpreendentes,1
reviver,0
amalgamação,0
agasalhado,0
dispersão,0
voluntariamente,0
completa,0
descer,0
chateado,0
mudar,0
selecionar,0
origem,0
conventrículo,0
sensacional,0
relevar,0
festim,0
estendidos,1
menos,0
fervor,0
apelidar,0
textualmente,0
conter,0
cercania,0
conduta,0
esbanjamento,0
consistência,1
captadores,0
diminuídos,0
eficiente,0
semelhantes,0
vital,1
fenomenal,0
projeções,1
elemento,0
entrecho,0
enjaular,0
haveres,0
dissaboroso,0
engolir,0
reinado,1
longe,0
cadenciado,0
concebeu,0
bilhete,0
duplicata,0
adequada,0
arrazoar,0
resignação,0
duro,0
ligame,0
esplendor,0
curioso,0
conjugação,0
tarimba,0
apresentações,0
tiro,0
desmembração,0
ostensivo,0
somente,0
coletaram,1
socorrido,0
acervo,1
automobilista,0
busca,0
deprotegido,0
celebração,1
repulsa,0
calmamente,1
excessivo,0
cesto,1
encorpamento,0
erupção,0
subaquática,0
relatar,0
hipotético,0
antigo,0
enunciação,0
sêmen,1
não,0
carnudo,0
revolucionário,0
circunscrever,0
amanho,0
manejar,0
divertir,0
anatomia,1
coincidir,0
significar,0
convenientemente,0
requer,0
avanço,0
terapêutico,0
rolar,0
demais,0
aderente,0
construir,0
vigoroso,0
sobra,1
acerto,0
combater,0
entrava,1
golfo,0
pactuar,0
envolvente,0
concomitantemente,0
consequente,0
avistaram,1
sensatamente,0
exprimir,0
papadas,1
instituto,0
prerrogativa,0
fiel,0
inflexível,0
durável,0
ser,0
visitação,1
nauseante,0
pomposo,1
positivo,0
viciava,1
necessidade,0
porfia,0
imensurável,0
fascínio,0
cosmo,0
monumental,0
sucessivamente,0
adestramento,0
consubstanciar,0
diversidade,1
fraco,0
enxergar,0
elevadíssimo,0
abrupto,0
fidedigno,0
abreviar,0
garantir,0
seguro,0
deficiência,0
reproduzem,0
eliminação,0
amolecer,0
socorrer,0
reclusão,0
reflexões,0
destruível,0
aplicado,0
involuntariamente,0
queda,0
aprestamento,0
lamber,0
unanimidade,0
rachar,0
corretamente,0
variedade,0
lutuoso,0
quase,0
devoção,0
abundantemente,0
perigoso,0
afogado,0
agregação,0
estrambótico,0
aproximam,0
perícia,1
subitâneo,0
elaborar,0
primordialmente,0
conformidade,0
evidentemente,0
abundoso,0
anteriormente,0
muitíssimo,0
circuito,1
desenvolvimento,0
incineração,0
estrebuchar,0
encarar,0
acurar,0
vultoso,0
comedidamente,0
perenemente,0
raias,1
mirífico,0
enjaulamento,0
treino,0
formalidade,0
programa,0
providências,0
injustamente,0
falta,0
terreno,0
combate,0
coloração,1
receptores,1
performance,0
conciliábulo,0
repelente,0
cerimônia,0
natureza,0
nitidez,0
malefício,0
abusivo,0
suficiência,0
doutrina,0
nervosismo,0
tolerável,0
evidências,0
magia,0
vestígios,0
enfeitar,0
libertado,0
copioso,0
especulações,1
barbaramente,0
eloquência,0
abastadamente,0
sustentáculo,0
triplo,0
simboliza,1
detectar,0
radiativo,0
aromáticas,1
apara,0
superioridade,1
ponto,0
festejo,0
administrar,0
funerário,0
triste,0
diferentes,0
compressão,1
minorar,0
irregularmente,0
restringimento,0
esperma,0
viagem,0
ordem,0
figurado,0
tragar,0
apavorante,0
revolucionou,1
debater,0
soltar,0
verificar,0
designar,1
grudento,0
fundir,0
expulsão,0
esquisito,0
inexatamente,0
arredondado,0
estampar,0
mais,0
pretensão,0
aparelho,0
atentar,0
abelhudo,0
tipo,0
coleção,0
viabilizam,0
estabelecimento,0
grandemente,0
imediatamente,0
destruição,0
soberania,0
patrimônio,0
espírito,0
costeiras,1
mentira,0
excelente,0
montem,0
evolver,0
variações,0
derrotar,0
intrometido,0
discurso,0
ou,0
insuficiente,0
decorar,0
grupos,0
aniquilamento,0
específico,0
gulodice,0
objeto,0
acertar,0
envolver,0
lia,0
congruente,0
normal,0
ai,0
alma,0
previamente,0
envio,0
jubiloso,0
eventualmente,0
intrujice,0
racontar,0
inovar,0
essencial,0
riqueza,0
primado,0
perecimento,0
doloridos,0
maravilhar,1
rígida,1
rápido,0
confirmar,0
excêntrico,0
marinheiro,0
realização,0
cruento,0
afora,1
inter,0
sereno,0
ocasionalmente,1
arqueadura,0
contradição,0
intencionalmente,1
primordial,0
criou,0
nublada,0
cronista,0
desgraça,0
recuperar,0
desemparado,0
enfezado,0
apogeu,0
inércia,0
funéreo,0
histórias,0
direito,0
barras,0
proficiente,0
suspensão,0
hostilizar,0
guerreavam,1
querido,0
tender,0
decisivo,0
revestir,0
coito,0
redução,0
explicadamente,0
lixo,0
fenômenos,0
lazer,0
acepilhar,0
congestionasse,1
pancada,0
aposto,1
assolapar,0
interrupção,0
potências,1
concentração,0
importante,0
progressão,0
eternizar,0
incalculável,0
maravilhoso,0
apreciável,0
consertar,0
reprodução,0
agilidade,0
estonteante,1
voga,0
repetidamente,0
paulatino,0
cobrir,0
constrangedoras,0
arriscado,0
precisamente,0
vulnerabilizado,0
proporcionar,0
franzino,1
preponderância,0
infesto,0
inclinar,0
consecutivo,0
galhofar,0
vulgarmente,0
macumba,1
divertido,0
literal,1
criação,0
bem,0
oficialmente,0
estocagem,1
verdadeiramente,1
importunar,0
batelada,0
diferem,1
amplificado,0
eterno,0
profundar,0
trabalhar,0
prisão,0
espicaçar,0
inopinadamente,0
afastado,0
paleontólogos,1
atemorizar,0
ininteligível,0
historiador,1
fulminante,0
lendários,1
plausível,0
reger,0
colossal,0
modernizaria,1
jogada,0
afiar,0
revisar,1
tedioso,0
devaneio,0
inicialmente,0
ramo,0
inexplicável,1
subitamente,1
celebrizar,0
anedotistas,0
deliberação,0
continuamente,0
obstinadamente,0
update,0
seduzir,0
energia,0
copulam,0
urdir,0
acabrunhado,0
constituir,0
matança,0
racionalmente,1
salvar,0
efeito,0
reviveu,1
anseio,0
ficar,0
heteróclito,0
formularam,1
mancomunação,0
visão,0
ajuste,0
ativo,0
conseguinte,0
submerso,1
partição,0
minimizam,1
cobiça,0
ínsita,0
demarcar,1
fundamento,0
propício,1
irradiação,0
temporariamente,0
maldito,1
treno,0
colecionar,0
compor,0
funtamento,0
ascensão,0
cupidez,0
eventual,0
gigantesco,0
dinheiro,0
expressivo,0
frisar,0
conservação,0
aberto,0
sortir,0
aplicação,0
prediletos,0
resultante,1
praiano,1
prenhez,0
quitutes,1
cabedal,0
capital,0
caprichar,0
incorretamente,1
largura,0
imediato,0
estreiteza,0
guerrear,0
fornido,0
defluxo,0
conclave,0
diferente,0
exortação,0
provisoriamente,1
pungente,0
infortúnio,0
açafate,0
difundir,1
vantajoso,1
robustez,0
melhoria,0
difícil,0
montão,1
abrangência,0
sanguinolenta,0
área,0
maioral,1
empreendedor,0
noviço,0
restringir,0
abafar,0
aparato,0
invadir,0
resignar,0
marcha,0
acumular,0
discorrer,0
chato,0
triunfo,0
consubstancializar,0
decretório,0
apresto,0
fluxo,1
suscitar,0
irregular,0
acidental,0
bruscos,1
pelejar,0
fantástico,0
máxime,0
astros,0
descuramento,0
provar,0
suficiente,0
concepção,0
preconceber,0
intriga,1
fofoqueiro,0
religião,0
baque,1
duvidoso,0
papos,0
questionário,0
logicamente,0
integração,0
facultar,0
prestímano,0
pegam,0
remonta,1
diminui,0
detonação,0
estrangulamento,0
geralmente,0
subterfúgio,0
suscetível,0
imediações,0
totalmente,0
exorbitante,0
estratégias,1
desempenhar,0
sanidade,1
primazia,0
picantes,0
forte,0
resplandecente,0
indicado,0
mal,0
arraia,0
aconselhar,0
enfraquecimento,0
recesso,0
viscoso,1
casualmente,0
contínuo,0
simpatizante,0
principalmente,0
armazenar,0
particular,0
entretenimento,1
atrição,0
más,0
menção,1
infelizmente,0
significativo,0
impropriamente,0
supremacia,0
edulcorar,0
vazamento,0
participar,0
distrair,0
semelhar,0
sequer,0
síndrome,1
auxiliados,1
estampa,0
metade,0
autômato,0
generalizado,0
couro,0
amalgamar,0
abrigo,0
acentuado,0
certo,0
preciosidade,0
submeter,0
direto,0
obcecação,0
regalar,0
boca,0
perfurar,0
acentuar,0
competente,0
louvar,0
imenso,0
acusados,1
desmerecido,0
copilação,0
desocupado,0
pobre,0
medieval,0
potestade,0
absorvendo,0
conjunto,0
espavorir,0
comer,0
dispor,0
idôneo,0
entrelaçar,0
projeto,0
proximidades,0
facetar,0
defluxão,0
funeral,0
incólume,0
comumente,0
logo,0
estoque,0
vasca,0
continuadamente,0
encargo,0
ensanguentado,0
aferir,0
trabalho,0
dividir,0
inserir,0
retransmissão,0
psicologicamente,0
comunicar,0
contemplar,1
encontrão,0
assistir,0
compilaram,1
abatatar,0
dosagem,0
doar,0
sólidos,0
iminente,0
edita,0
mostrar,0
feio,0
restos,0
arisco,1
climatológico,0
dolorosa,1
ganhuça,0
diretamente,0
celebridade,0
grosseiramente,0
voante,0
religiosidade,1
aglomeração,0
revelação,0
relativamente,0
demorado,0
expressamente,0
irradiar,0
conflito,0
serôdio,0
sondar,0
enjeitamento,0
advertência,0
publicidade,0
inconstante,0
propósito,0
descrevem,0
preponderante,0
aformosear,0
recolher,0
rijeza,0
prestância,0
massificar,0
sujo,0
tão,0
endurecido,0
danoso,0
recopilar,0
por,0
fundamentais,0
rememorar,0
dueto,1
fundo,0
atualizar,0
transparecer,0
repressivo,0
traçar,0
narração,0
denominar,0
rixa,0
imperfeições,1
fundição,0
fermentem,1
eficácia,0
grave,0
parcialmente,1
inusitado,0
fitar,0
esquisitório,0
conquistar,0
excepcional,0
cuidados,0
irreverente,0
idear,0
citar,0
possivelmente,0
irradiante,0
irremissível,0
tóxico,0
cassino,1
fúnebres,1
estabelecer,0
versões,1
potencializaria,1
raridade,1
verbis,0
pensar,0
considerável,0
minimamente,0
prolongamento,0
raiva,0
aterrar,0
irrevogável,0
agudamente,0
deliberativo,0
trapaça,0
bagaço,0
remontem,1
súbito,0
contraditórias,1
manifestação,0
indica,0
serviço,0
manusear,1
dormir,0
indelicado,0
guerra,0
diminuição,0
desdém,0
impiedoso,0
inalteração,0
preparação,0
conforma,1
exame,0
culto,0
patentemente,0
escolher,0
monte,0
lindo,0
artificial,0
abismo,0
contributo,0
perscrutar,0
reaver,0
vasculhar,1
predileto,0
posse,0
redenção,0
bolçado,0
rito,0
ocaso,0
enunciar,0
elegância,0
severamente,0
fabricar,0
