text,type,year
CONSIDERANDO os termos dos Relatórios de Auditoria e da defesa;,Considerandos,2015
"CONSIDERANDO o superávit de execução orçamentária, no montante de R$ 542.137,31;",Considerandos,2015
"CONSIDERANDO que o valor de R$ 2.601,72 não recolhido ao Regime Geral da Previdência Social - RGPS - no exercício de 2015, apresenta materialidade insuficiente, em relação ao total retido, no montante de R$ 262.738,96;",Considerandos,2015
"CONSIDERANDO que o único apontamento de maior monta se refere à aplicação na Manutenção e Desenvolvimento do Ensino, no percentual de 24,56%, abaixo do limite mínimo Constitucional estabelecido (25%);",Considerandos,2015
"CONSIDERANDO a jurisprudência deste Tribunal em casos análogos, a exemplo, inclusive, das Contas de Governo ( Processos TCE-PE Nº 1350060-0, TCE-PE Nº 15100020-7 e TCE-PE Nº 1150096-7), quando este Tribunal decidiu que o apontamento relatado no considerando anterior, por si só, não levaria à rejeição das contas, devendo ser contextualizado com os demais pontos levantados pela auditoria;",Considerandos,2015
CONSIDERANDO o cumprimento dos demais valores e limites constitucionais e legais;,Considerandos,2015
"CONSIDERANDO que a transparência da gestão é importante requisito para o exercício da cidadania, cabendo ao gestor fornecer à população, no mínimo, as informações exigidas por lei, e o que se pode verificar é que o Poder Executivo municipal não disponibilizou integralmente para a sociedade o conjunto de informações exigido na LRF (Lei Complementar nº 101/2000) e na Lei nº 12.527/2011 (LAI);",Considerandos,2015
"CONSIDERANDO que os demais achados apontados pela auditoria, apesar de não ensejarem a emissão de Parecer Prévio pela rejeição das contas, requerem a emissão de determinações para que não voltem a se repetir em exercícios futuros;",Considerandos,2015
"CONSIDERANDO que houve a aplicação de 29,96% das receitas na manutenção e desenvolvimento do ensino, em conformidade com a Constituição Federal, artigo 212; a aplicação de 77,81% dos recursos do Fundeb na remuneração dos profissionais do magistério da educação básica, respeitando preceitos da Lei Federal nº 11.494/2007; a aplicação, em 2015, de 22,03% da receita em ações e serviços de saúde, em conformidade com a Lei Complementar nº 141/2012, artigo 7º, e Constituição Federal, artigo 6º; a Dívida consolidada líquida – DCL permaneceu nos limites preconizados pela Resolução nº 40/2001 do Senado Federal; redução da mortalidade infantil; o recolhimento integral das contribuições previdenciárias de 2015 devidas ao Regime Geral de Previdência Social, respeitando disposições da Constituição da República, artigos 37, 195 e 201, e da Lei Federal 8.212/91, artigos 22 e 30;",Considerandos,2015
"CONSIDERANDO, por outro ângulo, distorções na Lei Orçamentária Anual - LOA, em desconformidade com a Constituição Federal, artigos 37 e 167, V e VI; incapacidade do Poder Executivo local de arcar com as dívidas de curto prazo; arrecadação deficiente de receitas próprias, indo de encontro à Carta Magna, artigos 29, 30, 37, 156 e LRF, artigos 1º e 11 a 14; a insuficiente transparência do Poder Executivo, destoando  Constituição Federal, artigo 1º, 5º, XXXI, e 37, e da Lei do Acesso à Informação, artigo 8º, e da LRF, arts. 23, 48 e 73-C; e descumprimento do limite de gastos com pessoal no final do exercício de 2015 (LRF, artigos 19 e 20);",Considerandos,2015
"CONSIDERANDO os postulados da proporcionalidade e razoabilidade, revelando-se insuficientes os achados de auditoria subsistentes para se emitir um parecer prévio pela rejeição de contas, mas sim aprovação com ressalvas e determinações;",Considerandos,2015
"Considerando o descumprimento do limite de 54% da receita corrente líquida para as despesas com pessoal do Poder Executivo Municipal estabelecido no art. 20, inciso III, alínea “b”, da Lei de Responsabilidade Fiscal durante os três quadrimestres do exercício, na medida em que ficou constatado o comprometimento de 59,08% no 1º quadrimestre, 58,36% no 2º quadrimestre e 61,51% no 3º quadrimestre;",Considerandos,2015
"Considerando o recolhimento a menor de contribuições previdenciárias devidas ao RPPS no valor de R$  R$ 1.204.707,85, representando 29,26% das contribuições devidas (R$ 4.115.924,92), repercutindo diretamente no equilíbrio das contas públicas, ao aumentar o passivo do Município, além de comprometer gestões futuras, que terão de arcar não apenas com as contribuições ordinárias, como também com a amortização, normalmente de longo prazo, de dívidas deixadas por administrações passadas;",Considerandos,2015
"CONSIDERANDO que o presente processo se refere às contas de governo, instrumento através do qual o Chefe do Poder Executivo de qualquer dos entes da federação expressa os resultados da atuação governamental no exercício financeiro respectivo, apresentadas na forma de contas globais que refletem a situação das finanças da unidade federativa, revelando o planejamento governamental, a política fiscal e previdenciária; demonstrando os níveis de endividamento, o atendimento ou não aos limites previstos para a saúde, educação, despesa com pessoal e repasse ao legislativo; bem como o atendimento ou não das normas que disciplinam a transparência da administração pública;",Considerandos,2015
CONSIDERANDO os termos dos Relatórios de Auditoria e da defesa;,Considerandos,2015
"CONSIDERANDO o superávit de execução orçamentária, no montante de R$ 109.137,57;",Considerandos,2015
"CONSIDERANDO a ausência de recolhimento integral das contribuições patronais ao Regime Geral da Previdência Social - RGPS, no montante de R$ 240.491,43;",Considerandos,2015
"CONSIDERANDO a ausência de repasse integral das contribuições previdenciárias ao Fundo Previdenciário do Município de Lagoa do Carro – LAGOAPREV, no montante de R$ 1.520.314,38, relativo às obrigações patronais (R$ 351.893,04) e Especial  (R$ 1.068.159,61);",Considerandos,2015
"CONSIDERANDO que o aumento do passivo do Município ante o Regime Geral de Previdência gera ônus para o Erário em virtude dos acréscimos pecuniários (encargos com juros, multas etc.), e compromete gestões futuras, que acabam tendo que arcar não apenas com as contribuições ordinárias, como também com a amortização, normalmente de longo prazo, de dívidas deixadas por administrações passadas;",Considerandos,2015
"CONSIDERANDO o descumprimento do limite para a Despesa Total com Pessoal (DTP) estabelecido pela Lei de Responsabilidade Fiscal, alcançando os percentuais de 63,37%, 65,60% e 65,02% da Receita Corrente Líquida (RCL) no 1º, 2º e 3º quadrimestres de 2015, respectivamente;",Considerandos,2015
"CONSIDERANDO que para fins de análise de contas de governo, o descumprimento do limite relativo às Despesas Totais com Pessoal (DTP) é considerado, sobretudo quando mantido nos mesmos patamares, ou em ascensão, como no caso em análise;",Considerandos,2015
"CONSIDERANDO que a transparência da gestão é importante requisito para o exercício da cidadania, cabendo ao gestor fornecer à população, no mínimo, as informações exigidas por lei, e o que se pode verificar é que o poder Executivo municipal não disponibilizou integralmente para a sociedade o conjunto de informações exigido na LRF (Lei Complementar nº 101/2000) e na Lei nº 12.527/2011 (LAI);",Considerandos,2015
"CONSIDERANDO a jurisprudência dominante nesta Corte de Contas (Processos TCE-PE Nº 1430025-4, TCE-PE Nº 1401873-1, TCE-PE Nº 1340075-7, TCE-PE Nº 1430025-4, TCE-PE Nº 1330035-0 e TCE-PE Nº 1103330-7);",Considerandos,2015
"CONSIDERANDO que os demais achados apontados pela auditoria, apesar de não ensejarem a emissão de Parecer Prévio pela rejeição das contas, requerem a emissão de determinações para que não voltem a se repetir em exercícios futuros;",Considerandos,2015
"Considerando que o presente processo trata de auditoria realizada nas contas de governo, compreendendo, primordialmente, a verificação do cumprimento de limites constitucionais e legais, os quais se encontram consolidados no Anexo Único deste voto;",Considerandos,2015
Considerando os termos do Relatório de Auditoria e os argumentos constantes na defesa apresentada;,Considerandos,2015
"Considerando o cumprimento de todos os limites legais e constitucionais, à exceção do limite de repasse de duodécimos à Câmara, correspondendo a aproximadamente 0,08% do montante permitido, diferença esta considerada irrisória;",Considerandos,2015
Considerando os Princípios da Razoabilidade e da Proporcionalidade;,Considerandos,2015
"Considerando que os demais achados de auditoria, após a apreciação da defesa do interessado, não se apresentam capazes de ensejar a rejeição das presentes contas, merecendo determinações para que não se repitam em exercícios futuros;",Considerandos,2015
Considerando os termos do Relatório de Auditoria (doc. 51) e da defesa apresentada (doc. 60);  ,Considerandos,2015
"Considerando que a Prefeitura Municipal de Bodocó deixou de atender ao limite de Despesa Total com Pessoal (DTP), tendo alcançado o percentual de 55,92% da Receita Corrente Líquida (RCL) no 2o Semestre/2015, no entanto, ainda estaria dentro do prazo total para a recondução da DTP aos limites previstos na LRF (até o 2o semestre/2016), haja vista o disposto no art. 23, caput, da Lei de Responsabilidade Fiscal;",Considerandos,2015
"Considerando que a Prefeitura cumpriu os demais limites constitucionais e legais, conforme evidencia o quadro demonstrativo constante no inteiro teor da presente deliberação;",Considerandos,2015
"Considerando que, para as contribuições patronais do mês de dezembro/2015 não repassadas ao RGPS e aquelas, relativas aos meses de novembro e dezembro/2015, não quitadas junto ao RPPS, cabe determinação no sentido de se cumprir os acordos de parcelamentos celebrados, por meio da quitação das parcelas previstas nos citados acordos, que devem ser anexadas na prestação de contas dos próximos exercícios;  ",Considerandos,2015
Considerando que as irregularidades apontadas pela auditoria ensejam determinações para que não voltem a se repetir em futuros exercícios;,Considerandos,2015
"CONSIDERANDO a execução orçamentária do Município de Tamandaré, no exercício de 2015, evidenciou uma insuficiente liquidez imediata, porquanto constou no disponível R$ 2.439.639,35, enquanto o passivo circulante - obrigações de curto prazo - alcançaram o vultoso montante de R$  16.661.282,28, evidenciando expressiva incapacidade de arcar com compromissos imediatos da Prefeitura, em 2015, bem como consubstanciou, ainda, um insuficiente planejamento orçamentário-financeiro do Município, em desconformidade com a Constituição Federal, artigo 37, e Lei de Responsabilidade Fiscal, artigos 1º, caput e § 1º;",Considerandos,2015
"CONSIDERANDO que houve distorções na elaboração das Leis Orçamentárias (LOA e LDO), o que descaracteriza a concepção das peças orçamentárias como instrumentos de controle e planejamento, em desconformidade com a Constituição Federal, artigos 31, 37, 167, V e VI, e Lei de Responsabilidade Fiscal, artigos 1º, caput e § 1º, e 16, I e II;",Considerandos,2015
"CONSIDERANDO uma deficiente atuação do Chefe do Executivo na arrecadação de receitas próprias, indo de encontro à Carta Magna, artigos 1º, 29, 30, 37, 156, bem assim da Lei de Responsabilidade Fiscal – LRF, artigos 1º e 11;",Considerandos,2015
"CONSIDERANDO, a despeito de significativo aumento, em 2015, da dívida ativa, que  passou de R$ 21.885.477,49, ao final de 2014, para R$ 41.133.536,68, em 31/12/2015, que configurou-se uma inércia da Administração em proceder à cobrança de tais créditos (arrecadação de R$ 891.227,49, somente 4,07% da dívida ativa do Município), o que vai de encontro à Lei Maior - artigo 37, caput, ao Código Tributário Nacional, artigos 201 a 204, Lei Federal nº 4.320/64, artigo 39, e Lei Federal n.º 6.830/80, artigos 1º e 2º, bem como a Lei de Responsabilidade Fiscal, artigo 13;",Considerandos,2015
"CONSIDERANDO que houve omissão grave no recolhimento de contribuições previdenciárias ao Regime Geral de Previdência Social, uma vez que deixou de recolher 45% das contribuições patronais devidas, montante de R$ 1.748.583,19, prejudicando o RGPS e as contas do próprio Poder Executivo, em afronta aos princípios expressos da administração pública e o dever de contribuir para seguridade social – Constituição da República, artigos 37, 195 e 201, e Lei Federal 8.212/91, artigos 22 e 30,",Considerandos,2015
"CONSIDERANDO a realização de despesas com recursos do FUNDEB sem lastro financeiro, contrariando o artigo 212, da Constituição Federal, e o artigo 21, da Lei Federal No 11.494/07;",Considerandos,2015
"CONSIDERANDO, por outro ângulo, a insuficiente transparência do Poder Executivo, destoando da Constituição Federal, artigo 1º, 5º, XXXI, e 37, e da Lei do Acesso à Informação, artigo 8º, e da LRF, arts. 23, 48 e 73-C;",Considerandos,2015
"Considerando que no presente processo foi realizada auditoria nas contas de governo, compreendendo apenas a verificação de limites legais e constitucionais;",Considerandos,2015
Considerando o Relatório de Auditoria  (doc. 56) e   a defesa apresentada (doc.62);,Considerandos,2015
"Considerando o Cumprimento dos valores e limites constitucionais, notadamente, educação e a saúde, conforme consolidados no Anexo Único deste Voto;",Considerandos,2015
"Considerando a necessidade de providencias para que a previsão da receitas esteja de acordo com a real capacidade de arrecadação, para que não gere a expectativa de uma receita imprevista e que acabe por impulsionar a execução de despesas dos gastos para patamares acima da real capacidade de pagamento do município;",Considerandos,2015
"Considerando a existência de um superavit de execução orçamentária no valor de R$ 1.798.875,72 (receitas - despesas), o que contribuiu significativamente para o equilíbrio das contas públicas municipais;",Considerandos,2015
Considerando que a inscrição de restos a pagar não processados tanto a serem custeados com recursos vinculados como com recursos não vinculados sem disponibilidade de caixa para o pagamento de restos a pagar deste e de outros exercícios poderá comprometer o desempenho orçamentário do exercício seguinte;,Considerandos,2015
"Considerando ainda que a inscrição em restos a pagar ocorreu pelo comprometimento com restos a pagar de exercícios anteriores e, por não se tratar do último ano de mandato, não viola o artigo 42 da LRF, pois o endividamento deverá ser arcado pelo próprio gestor;",Considerandos,2015
Consierando o baixo percentual de arrecadação da Receita Tributária Própria em relação à Receita Total arrecadada e o acréscimo da dívida ativa em relação ao exercício anterior;,Considerandos,2015
"Considerando  que os parâmetros municipais relacionados à Educação e saúde foram bons, tendo o Município apresentado uma redução de 6,32% na Taxa de fracasso escolar, atingido as metas do Ideb-índice de desenvolvimento da educação básica para os anos iniciais e finais do ensino fundamental e apresentado um aumento relevante da Cobertura da estratégia de saúde da família e uma diminuição da Taxa de mortalidade infantil, que vem caindo desde 2013;",Considerandos,2015
"Considerando a presença de falhas e irregularidades que não são de natureza grave e que não representam injustificado dano ao erário, insuficientes de recomendar à Câmara a rejeição de contas, devendo ser alvo de determinação de não repetição ou saneamento; e",Considerandos,2015
CONSIDERANDO o teor do Relatório de Auditoria;,Considerandos,2015
"CONSIDERANDO que houve distorções na elaboração das Leis orçamentárias (Lei orçamentária Anual - LOA e Lei de Diretrizes Orçamentária - LDO), uma vez que configurada a superestimação de receitas (arrecadou-se R$ 53.229.236,48 em 2014 e se previu arrecadação superdimensionada em 2015 em R$ 77.340.000,00) e abertura excessiva de créditos suplementares na ordem de R$ 37.140.506,93, uma alteração do orçamento inicial na ordem de 48,02%, o que descaracteriza a concepção das peças orçamentárias como instrumentos de controle e planejamento, em desconformidade com a Constituição Federal, artigos 31, 37, 167, V e VI, e Lei de Responsabilidade Fiscal, artigos 1º, caput e § 1º;",Considerandos,2015
"CONSIDERANDO que se consolidou uma crise financeira e orçamentária expressiva: déficit de execução orçamentária, em que o Município realizou despesas em volume superior à arrecadação de receitas no montante de R$ 7.919.747,21; insuficiente liquidez imediata, vultoso déficit financeiro, no montante de R$ 3.944.189,02, e inscrição também expressiva de restos a pagar processados de 2015, R$ 8.476.622,98, mas sem saldo suficiente, bem como o Município de Exu apresentou ao final de 2015 um índice de liquidez corrente de 0,12, o que vai de encontro à Carta Magna, artigos 29, 30, 37 e 156, e LRF, artigos 1º e 11 a 14;",Considerandos,2015
"CONSIDERANDO a grave situação financeira e atuarial do Regime Próprio de Previdência Social - RPPS, que torna improvável suportar o pagamento de benefícios futuros dos segurados do Regime Próprio de Previdência Municipal - RPPS, porquanto o Plano Previdenciário apresentou ao final de 2015 um deficit financeiro de R$ -888.688,45, bem como o avaliação no DRAA de 2016, o Plano apresentou ao final de 2015 um déficit atuarial de R$ -157.111.561,43, em desconformidade com Constituição da República, artigos 37, 40 e 201, e Lei Federal 8.212/91, artigo 3º, Portaria nº 403/08 MPS, artigo 2º, inc. XX;",Considerandos,2015
"CONSIDERANDO a precária e insuficiente atuação do Chefe do Executivo quanto ao dever de adotar medidas efetivas visando à arrecadação de receitas próprias, indo de encontro da Carta Magna, artigos 1º, 29, 30, 37, 156, bem assim da Lei de Responsabilidade Fiscal – LRF, artigos 1º e 11, com o Município somente arrecadando em 2015 mediante tributos de competência municipal o montante de R$ 2.432.634,78, equivalentes a irrisórios 5,25% das receitas orçamentárias arrecadadas, R$ 56.272.215,73;",Considerandos,2015
"CONSIDERANDO, também, a deficiência da Administração em proceder à cobrança de créditos inscritos em dívida ativa (arrecadação de R$ 27.785,19, somente 5,72% da dívida ativa do Município, R$ 485.229,78), em afronta aos princípios expressos da Administração Pública, notadamente o da Legalidade e Eficiência, da Lei Maior - artigo 37, caput, ao Código Tributário Nacional, artigos 201 a 204, Lei Federal no 4.320/64, artigo 39, e Lei Federal n.º 6.830/80, artigos 1º e 2º, bem como a Lei de Responsabilidade Fiscal, artigo 13;",Considerandos,2015
"CONSIDERANDO a omissão no recolhimento de contribuições previdenciárias ao Regime Geral de Previdência Social - RGPS, uma vez que deixou de recolher em 2015 relativos a contribuições dos segurados, R$ 44.738,99, e contribuições patronais, R$ 104.356,14, prejudicando o RGPS e as contas do próprio Poder Executivo, em afronta aos princípios expressos da administração pública e o dever de contribuir para seguridade social – Constituição da República, artigos 37, 195 e 201, e Lei Federal 8.212/91, artigos 22 e 30;",Considerandos,2015
"CONSIDERANDO, também, a grave omissão no recolhimento de contribuições previdenciárias ao Regime Próprio de Previdência Social - RPPS, uma vez que deixou de recolher em 2015, relativos a contribuições dos segurados, na expressiva importância de R$ 353.475,39, e de contribuições patronal e patronal especial, o montante de R$ 2.739.860,06, prejudicando demasiadamente o RPPS e as contas do próprio Poder Executivo, em afronta aos princípios expressos da administração pública e o dever de contribuir para seguridade social – Constituição da República, artigos 37, 40, 195 e 201, e Lei Federal nº 9.717/98, em seu artigos 1º e 2º;",Considerandos,2015
"CONSIDERANDO a realização de despesas com recursos do FUNDEB sem lastro financeiro, porquanto, consoante cálculos do Apêndice IX do Relatório de Auditoria, restaram dívidas ao término de 2015 na importância de R$ 3.778.557,94 sem aporte de recursos para as suportar, contrariando o artigo 21, da Lei Federal no 11.494/07;",Considerandos,2015
"CONSIDERANDO a deficiência de transparência do Poder Executivo, atingindo em 2015 um nível “insuficiente” de informações disponíveis à sociedade (atingindo 467,50 pontos de um total 1.000 possíveis na apuração da equipe de auditoria), destoando da Constituição Federal, artigo 1º, 5º, XXXI, e 37, e da Lei do Acesso à Informação, artigo 8º, e da LRF, arts. 23, 48 e 73-C;",Considerandos,2015
"Considerando que o presente processo se refere às contas de governo, instrumento através do qual o Chefe do Poder Executivo de qualquer dos entes da federação expressa os resultados da atuação governamental no exercício financeiro respectivo, apresentadas na forma de contas globais que refletem a situação das finanças da unidade federativa, revelando o planejamento governamental, a política fiscal e previdenciária; demonstrando os níveis de endividamento, o atendimento ou não aos limites previstos para a saúde, educação, despesa com pessoal e repasse ao legislativo; bem como o atendimento ou não das normas que disciplinam a transparência da administração pública;",Considerandos,2015
"Considerando que a análise do presente processo não se confunde com as contas de gestão (art. 70, inc. II, CF/88), que se referem aos atos de administração e gerência de recursos públicos praticados por qualquer agente público, tais como: admitir pessoal, aposentar, licitar, contratar, empenhar, liquidar, pagar (assinar cheques ou ordens bancárias), inscrever em restos a pagar, conceder adiantamentos, etc. (STJ, 2ª Turma, ROMS 11.060/GO, Rel. Min. Laurita Vaz, Rel. para acórdão Min. Paulo Medina, 25/06/02, DJ 16/09/02);",Considerandos,2015
"Considerando a fragilidade do planejamento orçamentário, haja vista a alteração de 73,59% do orçamento inicial (33,99% para efeito de cálculo limite da Lei Orçamentária - LOA, que contém exceções);",Considerandos,2015
"Considerando a não observância ao disposto no art. 13 da Lei de Responsabilidade Fiscal – LRF, com a não especificação da quantidade e valores de ações ajuizadas para cobrança da dívida ativa, bem como da evolução do montante dos créditos tributários passíveis de cobrança administrativa;",Considerandos,2015
Considerando a fragilidade no controle das disponibilidades por fonte/destinação de recursos;,Considerandos,2015
"Considerando que, a despeito de a arrecadação geral do município ter se apresentado de forma crescente nos últimos anos, a arrecadação de receitas próprias (tributos municipais), de responsabilidade direta do ente municipal, tem apresentado resultado tímido;",Considerandos,2015
"Considerando a ausência de registro, em conta redutora, de Provisão para Perdas de Dívida Ativa, evidenciando, no Balanço Patrimonial, uma situação não compatível com a realidade; e que desatende ao estabelecido pela Secretaria do Tesouro Nacional (STN) – com base nos Princípios Contábeis da Oportunidade e da Prudência13 –, que exigiu, por meio da Portaria nº 564, de 27 de outubro de 2004, que aprova o Manual da Dívida Ativa (art. 2º), a regular constituição de provisão para créditos inscritos em dívida ativa de recebimento incerto;",Considerandos,2015
